state,read,write,move,next_state
ADV_R1_D1,B,B,R,ADV_R1_D1
ADV_R1_D1,0,0,R,ADV_R1_D2
ADV_R1_D1,1,1,R,ADV_R1_D2
ADV_R1_D1,#,#,R,ADV_R1_D1
ADV_R1_D1,C0,C0,R,ADV_R1_D1
ADV_R1_D1,C1,C1,R,ADV_R1_D1
ADV_R1_D1,A0,A0,R,ADV_R1_D1
ADV_R1_D1,A1,A1,R,ADV_R1_D1
ADV_R1_D1,N,N,R,ADV_R1_D1
ADV_R1_D1,X,X,R,ADV_R1_D1
ADV_R1_D1,T,T,R,ADV_R1_D1
ADV_R1_D1,Z,Z,R,ADV_R1_D1
ADV_R1_D1,hL,hL,R,ADV_R1_D1
ADV_R1_D1,hb,hb,R,ADV_R1_D1
ADV_R1_D1,h0,h0,R,ADV_R1_D1
ADV_R1_D1,h1,h1,R,ADV_R1_D1
ADV_R1_D2,B,B,R,ADV_R1_D2
ADV_R1_D2,0,0,R,ADV_R1_NEXT
ADV_R1_D2,1,1,R,ADV_R1_NEXT
ADV_R1_D2,#,#,R,ADV_R1_D2
ADV_R1_D2,C0,C0,R,ADV_R1_D2
ADV_R1_D2,C1,C1,R,ADV_R1_D2
ADV_R1_D2,A0,A0,R,ADV_R1_D2
ADV_R1_D2,A1,A1,R,ADV_R1_D2
ADV_R1_D2,N,N,R,ADV_R1_D2
ADV_R1_D2,X,X,R,ADV_R1_D2
ADV_R1_D2,T,T,R,ADV_R1_D2
ADV_R1_D2,Z,Z,R,ADV_R1_D2
ADV_R1_D2,hL,hL,R,ADV_R1_D2
ADV_R1_D2,hb,hb,R,ADV_R1_D2
ADV_R1_D2,h0,h0,R,ADV_R1_D2
ADV_R1_D2,h1,h1,R,ADV_R1_D2
ADV_R1_NEXT,B,B,R,ADV_R1_NEXT
ADV_R1_NEXT,0,0,R,ADV_R2_W1
ADV_R1_NEXT,1,1,R,ADV_R1_NEXT
ADV_R1_NEXT,#,#,R,ADV_R1_NEXT
ADV_R1_NEXT,C0,C0,R,ADV_R1_NEXT
ADV_R1_NEXT,C1,C1,R,ADV_R1_NEXT
ADV_R1_NEXT,A0,A0,R,ADV_R1_NEXT
ADV_R1_NEXT,A1,A1,R,ADV_R1_NEXT
ADV_R1_NEXT,N,N,R,ADV_R1_NEXT
ADV_R1_NEXT,X,X,R,ADV_R1_NEXT
ADV_R1_NEXT,T,T,R,ADV_R2_W1
ADV_R1_NEXT,Z,Z,R,ADV_R2_W1
ADV_R1_NEXT,hL,hL,R,ADV_R1_NEXT
ADV_R1_NEXT,hb,hb,R,ADV_R1_NEXT
ADV_R1_NEXT,h0,h0,R,ADV_R1_NEXT
ADV_R1_NEXT,h1,h1,R,ADV_R1_NEXT
ADV_R1_W1,B,B,R,ADV_R1_W1
ADV_R1_W1,0,0,R,ADV_R1_W2
ADV_R1_W1,1,1,R,ADV_R1_W2
ADV_R1_W1,#,#,R,ADV_R1_W1
ADV_R1_W1,C0,C0,R,ADV_R1_W1
ADV_R1_W1,C1,C1,R,ADV_R1_W1
ADV_R1_W1,A0,A0,R,ADV_R1_W1
ADV_R1_W1,A1,A1,R,ADV_R1_W1
ADV_R1_W1,N,N,R,ADV_R1_W1
ADV_R1_W1,X,X,R,ADV_R1_W1
ADV_R1_W1,T,T,R,ADV_R1_W1
ADV_R1_W1,Z,Z,R,ADV_R1_W1
ADV_R1_W1,hL,hL,R,ADV_R1_W1
ADV_R1_W1,hb,hb,R,ADV_R1_W1
ADV_R1_W1,h0,h0,R,ADV_R1_W1
ADV_R1_W1,h1,h1,R,ADV_R1_W1
ADV_R1_W2,B,B,R,ADV_R1_W2
ADV_R1_W2,0,0,R,ADV_R1_D1
ADV_R1_W2,1,1,R,ADV_R1_D1
ADV_R1_W2,#,#,R,ADV_R1_W2
ADV_R1_W2,C0,C0,R,ADV_R1_W2
ADV_R1_W2,C1,C1,R,ADV_R1_W2
ADV_R1_W2,A0,A0,R,ADV_R1_W2
ADV_R1_W2,A1,A1,R,ADV_R1_W2
ADV_R1_W2,N,N,R,ADV_R1_W2
ADV_R1_W2,X,X,R,ADV_R1_W2
ADV_R1_W2,T,T,R,ADV_R1_W2
ADV_R1_W2,Z,Z,R,ADV_R1_W2
ADV_R1_W2,hL,hL,R,ADV_R1_W2
ADV_R1_W2,hb,hb,R,ADV_R1_W2
ADV_R1_W2,h0,h0,R,ADV_R1_W2
ADV_R1_W2,h1,h1,R,ADV_R1_W2
ADV_R2_D1,B,B,R,ADV_R2_D1
ADV_R2_D1,0,0,R,ADV_R2_D2
ADV_R2_D1,1,1,R,ADV_R2_D2
ADV_R2_D1,#,#,R,ADV_R2_D1
ADV_R2_D1,C0,C0,R,ADV_R2_D1
ADV_R2_D1,C1,C1,R,ADV_R2_D1
ADV_R2_D1,A0,A0,R,ADV_R2_D1
ADV_R2_D1,A1,A1,R,ADV_R2_D1
ADV_R2_D1,N,N,R,ADV_R2_D1
ADV_R2_D1,X,X,R,ADV_R2_D1
ADV_R2_D1,T,T,R,ADV_R2_D1
ADV_R2_D1,Z,Z,R,ADV_R2_D1
ADV_R2_D1,hL,hL,R,ADV_R2_D1
ADV_R2_D1,hb,hb,R,ADV_R2_D1
ADV_R2_D1,h0,h0,R,ADV_R2_D1
ADV_R2_D1,h1,h1,R,ADV_R2_D1
ADV_R2_D2,B,B,R,ADV_R2_D2
ADV_R2_D2,0,0,R,ADV_R2_NEXT
ADV_R2_D2,1,1,R,ADV_R2_NEXT
ADV_R2_D2,#,#,R,ADV_R2_D2
ADV_R2_D2,C0,C0,R,ADV_R2_D2
ADV_R2_D2,C1,C1,R,ADV_R2_D2
ADV_R2_D2,A0,A0,R,ADV_R2_D2
ADV_R2_D2,A1,A1,R,ADV_R2_D2
ADV_R2_D2,N,N,R,ADV_R2_D2
ADV_R2_D2,X,X,R,ADV_R2_D2
ADV_R2_D2,T,T,R,ADV_R2_D2
ADV_R2_D2,Z,Z,R,ADV_R2_D2
ADV_R2_D2,hL,hL,R,ADV_R2_D2
ADV_R2_D2,hb,hb,R,ADV_R2_D2
ADV_R2_D2,h0,h0,R,ADV_R2_D2
ADV_R2_D2,h1,h1,R,ADV_R2_D2
ADV_R2_NEXT,B,B,R,ADV_R2_NEXT
ADV_R2_NEXT,0,0,R,ADV_R3_W1
ADV_R2_NEXT,1,1,R,ADV_R2_NEXT
ADV_R2_NEXT,#,#,R,ADV_R2_NEXT
ADV_R2_NEXT,C0,C0,R,ADV_R2_NEXT
ADV_R2_NEXT,C1,C1,R,ADV_R2_NEXT
ADV_R2_NEXT,A0,A0,R,ADV_R2_NEXT
ADV_R2_NEXT,A1,A1,R,ADV_R2_NEXT
ADV_R2_NEXT,N,N,R,ADV_R2_NEXT
ADV_R2_NEXT,X,X,R,ADV_R2_NEXT
ADV_R2_NEXT,T,T,R,ADV_R3_W1
ADV_R2_NEXT,Z,Z,R,ADV_R3_W1
ADV_R2_NEXT,hL,hL,R,ADV_R2_NEXT
ADV_R2_NEXT,hb,hb,R,ADV_R2_NEXT
ADV_R2_NEXT,h0,h0,R,ADV_R2_NEXT
ADV_R2_NEXT,h1,h1,R,ADV_R2_NEXT
ADV_R2_W1,B,B,R,ADV_R2_W1
ADV_R2_W1,0,0,R,ADV_R2_W2
ADV_R2_W1,1,1,R,ADV_R2_W2
ADV_R2_W1,#,#,R,ADV_R2_W1
ADV_R2_W1,C0,C0,R,ADV_R2_W1
ADV_R2_W1,C1,C1,R,ADV_R2_W1
ADV_R2_W1,A0,A0,R,ADV_R2_W1
ADV_R2_W1,A1,A1,R,ADV_R2_W1
ADV_R2_W1,N,N,R,ADV_R2_W1
ADV_R2_W1,X,X,R,ADV_R2_W1
ADV_R2_W1,T,T,R,ADV_R2_W1
ADV_R2_W1,Z,Z,R,ADV_R2_W1
ADV_R2_W1,hL,hL,R,ADV_R2_W1
ADV_R2_W1,hb,hb,R,ADV_R2_W1
ADV_R2_W1,h0,h0,R,ADV_R2_W1
ADV_R2_W1,h1,h1,R,ADV_R2_W1
ADV_R2_W2,B,B,R,ADV_R2_W2
ADV_R2_W2,0,0,R,ADV_R2_D1
ADV_R2_W2,1,1,R,ADV_R2_D1
ADV_R2_W2,#,#,R,ADV_R2_W2
ADV_R2_W2,C0,C0,R,ADV_R2_W2
ADV_R2_W2,C1,C1,R,ADV_R2_W2
ADV_R2_W2,A0,A0,R,ADV_R2_W2
ADV_R2_W2,A1,A1,R,ADV_R2_W2
ADV_R2_W2,N,N,R,ADV_R2_W2
ADV_R2_W2,X,X,R,ADV_R2_W2
ADV_R2_W2,T,T,R,ADV_R2_W2
ADV_R2_W2,Z,Z,R,ADV_R2_W2
ADV_R2_W2,hL,hL,R,ADV_R2_W2
ADV_R2_W2,hb,hb,R,ADV_R2_W2
ADV_R2_W2,h0,h0,R,ADV_R2_W2
ADV_R2_W2,h1,h1,R,ADV_R2_W2
ADV_R3_D1,B,B,R,ADV_R3_D1
ADV_R3_D1,0,0,R,ADV_R3_D2
ADV_R3_D1,1,1,R,ADV_R3_D2
ADV_R3_D1,#,#,R,ADV_R3_D1
ADV_R3_D1,C0,C0,R,ADV_R3_D1
ADV_R3_D1,C1,C1,R,ADV_R3_D1
ADV_R3_D1,A0,A0,R,ADV_R3_D1
ADV_R3_D1,A1,A1,R,ADV_R3_D1
ADV_R3_D1,N,N,R,ADV_R3_D1
ADV_R3_D1,X,X,R,ADV_R3_D1
ADV_R3_D1,T,T,R,ADV_R3_D1
ADV_R3_D1,Z,Z,R,ADV_R3_D1
ADV_R3_D1,hL,hL,R,ADV_R3_D1
ADV_R3_D1,hb,hb,R,ADV_R3_D1
ADV_R3_D1,h0,h0,R,ADV_R3_D1
ADV_R3_D1,h1,h1,R,ADV_R3_D1
ADV_R3_D2,B,B,R,ADV_R3_D2
ADV_R3_D2,0,0,R,ADV_R3_NEXT
ADV_R3_D2,1,1,R,ADV_R3_NEXT
ADV_R3_D2,#,#,R,ADV_R3_D2
ADV_R3_D2,C0,C0,R,ADV_R3_D2
ADV_R3_D2,C1,C1,R,ADV_R3_D2
ADV_R3_D2,A0,A0,R,ADV_R3_D2
ADV_R3_D2,A1,A1,R,ADV_R3_D2
ADV_R3_D2,N,N,R,ADV_R3_D2
ADV_R3_D2,X,X,R,ADV_R3_D2
ADV_R3_D2,T,T,R,ADV_R3_D2
ADV_R3_D2,Z,Z,R,ADV_R3_D2
ADV_R3_D2,hL,hL,R,ADV_R3_D2
ADV_R3_D2,hb,hb,R,ADV_R3_D2
ADV_R3_D2,h0,h0,R,ADV_R3_D2
ADV_R3_D2,h1,h1,R,ADV_R3_D2
ADV_R3_NEXT,B,B,R,ADV_R3_NEXT
ADV_R3_NEXT,0,0,R,ADV_R4_W1
ADV_R3_NEXT,1,1,R,ADV_R3_NEXT
ADV_R3_NEXT,#,#,R,ADV_R3_NEXT
ADV_R3_NEXT,C0,C0,R,ADV_R3_NEXT
ADV_R3_NEXT,C1,C1,R,ADV_R3_NEXT
ADV_R3_NEXT,A0,A0,R,ADV_R3_NEXT
ADV_R3_NEXT,A1,A1,R,ADV_R3_NEXT
ADV_R3_NEXT,N,N,R,ADV_R3_NEXT
ADV_R3_NEXT,X,X,R,ADV_R3_NEXT
ADV_R3_NEXT,T,T,R,ADV_R4_W1
ADV_R3_NEXT,Z,Z,R,ADV_R4_W1
ADV_R3_NEXT,hL,hL,R,ADV_R3_NEXT
ADV_R3_NEXT,hb,hb,R,ADV_R3_NEXT
ADV_R3_NEXT,h0,h0,R,ADV_R3_NEXT
ADV_R3_NEXT,h1,h1,R,ADV_R3_NEXT
ADV_R3_W1,B,B,R,ADV_R3_W1
ADV_R3_W1,0,0,R,ADV_R3_W2
ADV_R3_W1,1,1,R,ADV_R3_W2
ADV_R3_W1,#,#,R,ADV_R3_W1
ADV_R3_W1,C0,C0,R,ADV_R3_W1
ADV_R3_W1,C1,C1,R,ADV_R3_W1
ADV_R3_W1,A0,A0,R,ADV_R3_W1
ADV_R3_W1,A1,A1,R,ADV_R3_W1
ADV_R3_W1,N,N,R,ADV_R3_W1
ADV_R3_W1,X,X,R,ADV_R3_W1
ADV_R3_W1,T,T,R,ADV_R3_W1
ADV_R3_W1,Z,Z,R,ADV_R3_W1
ADV_R3_W1,hL,hL,R,ADV_R3_W1
ADV_R3_W1,hb,hb,R,ADV_R3_W1
ADV_R3_W1,h0,h0,R,ADV_R3_W1
ADV_R3_W1,h1,h1,R,ADV_R3_W1
ADV_R3_W2,B,B,R,ADV_R3_W2
ADV_R3_W2,0,0,R,ADV_R3_D1
ADV_R3_W2,1,1,R,ADV_R3_D1
ADV_R3_W2,#,#,R,ADV_R3_W2
ADV_R3_W2,C0,C0,R,ADV_R3_W2
ADV_R3_W2,C1,C1,R,ADV_R3_W2
ADV_R3_W2,A0,A0,R,ADV_R3_W2
ADV_R3_W2,A1,A1,R,ADV_R3_W2
ADV_R3_W2,N,N,R,ADV_R3_W2
ADV_R3_W2,X,X,R,ADV_R3_W2
ADV_R3_W2,T,T,R,ADV_R3_W2
ADV_R3_W2,Z,Z,R,ADV_R3_W2
ADV_R3_W2,hL,hL,R,ADV_R3_W2
ADV_R3_W2,hb,hb,R,ADV_R3_W2
ADV_R3_W2,h0,h0,R,ADV_R3_W2
ADV_R3_W2,h1,h1,R,ADV_R3_W2
ADV_R4_D1,B,B,R,ADV_R4_D1
ADV_R4_D1,0,0,R,ADV_R4_D2
ADV_R4_D1,1,1,R,ADV_R4_D2
ADV_R4_D1,#,#,R,ADV_R4_D1
ADV_R4_D1,C0,C0,R,ADV_R4_D1
ADV_R4_D1,C1,C1,R,ADV_R4_D1
ADV_R4_D1,A0,A0,R,ADV_R4_D1
ADV_R4_D1,A1,A1,R,ADV_R4_D1
ADV_R4_D1,N,N,R,ADV_R4_D1
ADV_R4_D1,X,X,R,ADV_R4_D1
ADV_R4_D1,T,T,R,ADV_R4_D1
ADV_R4_D1,Z,Z,R,ADV_R4_D1
ADV_R4_D1,hL,hL,R,ADV_R4_D1
ADV_R4_D1,hb,hb,R,ADV_R4_D1
ADV_R4_D1,h0,h0,R,ADV_R4_D1
ADV_R4_D1,h1,h1,R,ADV_R4_D1
ADV_R4_D2,B,B,R,ADV_R4_D2
ADV_R4_D2,0,0,R,ADV_R4_NEXT
ADV_R4_D2,1,1,R,ADV_R4_NEXT
ADV_R4_D2,#,#,R,ADV_R4_D2
ADV_R4_D2,C0,C0,R,ADV_R4_D2
ADV_R4_D2,C1,C1,R,ADV_R4_D2
ADV_R4_D2,A0,A0,R,ADV_R4_D2
ADV_R4_D2,A1,A1,R,ADV_R4_D2
ADV_R4_D2,N,N,R,ADV_R4_D2
ADV_R4_D2,X,X,R,ADV_R4_D2
ADV_R4_D2,T,T,R,ADV_R4_D2
ADV_R4_D2,Z,Z,R,ADV_R4_D2
ADV_R4_D2,hL,hL,R,ADV_R4_D2
ADV_R4_D2,hb,hb,R,ADV_R4_D2
ADV_R4_D2,h0,h0,R,ADV_R4_D2
ADV_R4_D2,h1,h1,R,ADV_R4_D2
ADV_R4_NEXT,B,B,R,ADV_R4_NEXT
ADV_R4_NEXT,0,0,R,TARGET_MARK_NEXT_CANDIDATE
ADV_R4_NEXT,1,1,R,ADV_R4_NEXT
ADV_R4_NEXT,#,#,R,ADV_R4_NEXT
ADV_R4_NEXT,C0,C0,R,ADV_R4_NEXT
ADV_R4_NEXT,C1,C1,R,ADV_R4_NEXT
ADV_R4_NEXT,A0,A0,R,ADV_R4_NEXT
ADV_R4_NEXT,A1,A1,R,ADV_R4_NEXT
ADV_R4_NEXT,N,N,R,ADV_R4_NEXT
ADV_R4_NEXT,X,X,R,ADV_R4_NEXT
ADV_R4_NEXT,T,T,R,TARGET_MARK_NEXT_CANDIDATE
ADV_R4_NEXT,Z,Z,R,TARGET_MARK_NEXT_CANDIDATE
ADV_R4_NEXT,hL,hL,R,ADV_R4_NEXT
ADV_R4_NEXT,hb,hb,R,ADV_R4_NEXT
ADV_R4_NEXT,h0,h0,R,ADV_R4_NEXT
ADV_R4_NEXT,h1,h1,R,ADV_R4_NEXT
ADV_R4_W1,B,B,R,ADV_R4_W1
ADV_R4_W1,0,0,R,ADV_R4_W2
ADV_R4_W1,1,1,R,ADV_R4_W2
ADV_R4_W1,#,#,R,ADV_R4_W1
ADV_R4_W1,C0,C0,R,ADV_R4_W1
ADV_R4_W1,C1,C1,R,ADV_R4_W1
ADV_R4_W1,A0,A0,R,ADV_R4_W1
ADV_R4_W1,A1,A1,R,ADV_R4_W1
ADV_R4_W1,N,N,R,ADV_R4_W1
ADV_R4_W1,X,X,R,ADV_R4_W1
ADV_R4_W1,T,T,R,ADV_R4_W1
ADV_R4_W1,Z,Z,R,ADV_R4_W1
ADV_R4_W1,hL,hL,R,ADV_R4_W1
ADV_R4_W1,hb,hb,R,ADV_R4_W1
ADV_R4_W1,h0,h0,R,ADV_R4_W1
ADV_R4_W1,h1,h1,R,ADV_R4_W1
ADV_R4_W2,B,B,R,ADV_R4_W2
ADV_R4_W2,0,0,R,ADV_R4_D1
ADV_R4_W2,1,1,R,ADV_R4_D1
ADV_R4_W2,#,#,R,ADV_R4_W2
ADV_R4_W2,C0,C0,R,ADV_R4_W2
ADV_R4_W2,C1,C1,R,ADV_R4_W2
ADV_R4_W2,A0,A0,R,ADV_R4_W2
ADV_R4_W2,A1,A1,R,ADV_R4_W2
ADV_R4_W2,N,N,R,ADV_R4_W2
ADV_R4_W2,X,X,R,ADV_R4_W2
ADV_R4_W2,T,T,R,ADV_R4_W2
ADV_R4_W2,Z,Z,R,ADV_R4_W2
ADV_R4_W2,hL,hL,R,ADV_R4_W2
ADV_R4_W2,hb,hb,R,ADV_R4_W2
ADV_R4_W2,h0,h0,R,ADV_R4_W2
ADV_R4_W2,h1,h1,R,ADV_R4_W2
BACK_HASH_0,B,B,L,BACK_HASH_0
BACK_HASH_0,0,0,L,BACK_HASH_0
BACK_HASH_0,1,1,L,BACK_HASH_0
BACK_HASH_0,#,#,L,FIND_CURRENT_0
BACK_HASH_0,C0,C0,R,BACK_HASH_0
BACK_HASH_0,C1,C1,R,BACK_HASH_0
BACK_HASH_0,A0,A0,R,BACK_HASH_0
BACK_HASH_0,A1,A1,R,BACK_HASH_0
BACK_HASH_0,N,N,R,BACK_HASH_0
BACK_HASH_0,X,X,R,BACK_HASH_0
BACK_HASH_0,T,T,R,BACK_HASH_0
BACK_HASH_0,Z,Z,R,BACK_HASH_0
BACK_HASH_0,hL,hL,R,BACK_HASH_0
BACK_HASH_0,hb,hb,R,BACK_HASH_0
BACK_HASH_0,h0,h0,R,BACK_HASH_0
BACK_HASH_0,h1,h1,R,BACK_HASH_0
BACK_HASH_1,B,B,L,BACK_HASH_1
BACK_HASH_1,0,0,L,BACK_HASH_1
